11;Seven (Se7en) (1995);"Seven (sometimes stylized as SE7EN) is a 1995 American neo-noir crime thriller film directed by David Fincher and starring Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, R. Lee Ermey, and Kevin Spacey. The film was based on a screenplay by Andrew Kevin Walker. It tells the story of David Mills (Pitt), a young detective who is partnered with the retiring William Somerset (Freeman) and soon tasked with tracking down a serial killer (Spacey) who uses the seven deadly sins as tropes in his murders.
The film's screenplay was influenced by the time Walker spent in New York City trying to make it as a writer, and approached by Fincher as a ""tiny genre movie"". Principal photography took place in Los Angeles, with the last scene filmed near Lancaster, California. The film's budget was US$33 million.
Released on September 22, 1995 by New Line Cinema, Seven went on to become the seventh-highest-grossing film of the year, grossing over $327 million worldwide. It was well received by critics, who praised the darkness and brutality of the film and its themes. The film was nominated for Best Film Editing at the 68th Academy Awards, but lost out to Apollo 13."
12;Usual Suspects, The (1995);"Seven (sometimes stylized as SE7EN) is a 1995 American neo-noir crime thriller film directed by David Fincher and starring Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, R. Lee Ermey, and Kevin Spacey. The film was based on a screenplay by Andrew Kevin Walker. It tells the story of David Mills (Pitt), a young detective who is partnered with the retiring William Somerset (Freeman) and soon tasked with tracking down a serial killer (Spacey) who uses the seven deadly sins as tropes in his murders.
The film's screenplay was influenced by the time Walker spent in New York City trying to make it as a writer, and approached by Fincher as a ""tiny genre movie"". Principal photography took place in Los Angeles, with the last scene filmed near Lancaster, California. The film's budget was US$33 million.
Released on September 22, 1995 by New Line Cinema, Seven went on to become the seventh-highest-grossing film of the year, grossing over $327 million worldwide. It was well received by critics, who praised the darkness and brutality of the film and its themes. The film was nominated for Best Film Editing at the 68th Academy Awards, but lost out to Apollo 13."
13;Mighty Aphrodite (1995);"Mighty Aphrodite is a 1995 American romantic comedy film written, directed by, and co-starring Woody Allen, alongside Mira Sorvino, Helena Bonham Carter, Michael Rapaport, and F. Murray Abraham. The screenplay was inspired by the story of Pygmalion and is about Lenny Weinrib's (Allen) search for his genius adopted son's biological mother, ultimately finding that she is a dim-witted prostitute named Linda Ash (Sorvino).
While critical reception of Mighty Aphrodite overall was mildly positive, Sorvino was widely praised for her performance, winning the 1995 Academy Award for Best Supporting Actress, as well as a Golden Globe Award, New York Film Critics Circle Award, Critics' Choice Movie Award, National Board of Review Award, and a Dallas–Fort Worth Film Critics Association Award."
14;Postino, Il (1994);"Il Postino: The Postman (Italian: Il postino) is a 1994 Italian film directed by Michael Radford. The film was originally released in the US as The Postman, a straight translation of the Italian title. However, since the release of Kevin Costner's post-apocalyptic film of the same name, the film has gone by the title Il Postino: The Postman.
The film tells a fictional story in which the real life Chilean poet Pablo Neruda forms a relationship with a simple postman who learns to love poetry. It stars Philippe Noiret, Massimo Troisi, and Maria Grazia Cucinotta. The screenplay was adapted by Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, and Massimo Troisi from the novel Ardiente paciencia by Antonio Skármeta. In 1983, Skármeta himself wrote and directed the film Ardiente paciencia (English translation: ""Burning Patience""), which he later adapted to the novel of the same name in 1985.
Writer/star Massimo Troisi postponed heart surgery so that he could complete the film. The day after filming was completed, he suffered a fatal heart attack."
15;Mr. Holland's Opus (1995);"Mr. Holland's Opus is a 1995 American drama film directed by Stephen Herek, produced by Ted Field, Robert W. Cort, and Michael Nolin, and written by Patrick Sheane Duncan. The film stars Richard Dreyfuss in the title role of Glenn Holland, a high-school music teacher who aspires to write his own composition. The cast also includes Glenne Headly, Olympia Dukakis, William H. Macy, and Jay Thomas.
The film was nominated for the Golden Globe Award for Best Screenplay. Richard Dreyfuss also received nominations for the Golden Globe Award for Best Actor – Motion Picture Drama and the Academy Award for Best Actor for his performance in the film."
16;French Twist (Gazon maudit) (1995);French Twist (French: Gazon maudit) is a cult 1995 French comedy film. It was written and directed by Josiane Balasko. The film was one of very few French films to have a dubbed version for English audiences. Its title in French is untranslatable but 'Cursed Lawn' is a close approximation. It also refers to the shaving (or not) of pubic hair, a subtle joke in French alluding to the subject matter of the film. The film was selected as the French entry for the Best Foreign Language Film at the 68th Academy Awards, but was not accepted as a nominee.
17;From Dusk Till Dawn (1996);From Dusk till Dawn is a 1996 American action horror film directed by Robert Rodriguez and written by Quentin Tarantino. It stars George Clooney, Tarantino, Harvey Keitel and Juliette Lewis. After enjoying modest success at the box office, it has since become a cult film. The film was conceived by Robert Kurtzman who hired Tarantino to write the script as his first paid writing assignment.
18;White Balloon, The (1995);"The White Balloon (Persian: بادکنک سفيد ‎‎, Badkonake sefid) is a 1995 Iranian film directed by Jafar Panahi, with a screenplay by Abbas Kiarostami. It was Panahi's feature-film debut as director. The film received many strong critical reviews and won numerous awards in the international film fairs around the world including the Prix de la Camera d'Or at the 1995 Cannes Film Festival. The Guardian has listed this film as one of the 50 best family films of all time.
The film was selected as the Iranian entry for the Best Foreign Language Film at the 68th Academy Awards, but was not accepted as a nominee. Iran unsuccessfully tried to withdraw the film from contention but the Academy refused to accept the withdrawal."
19;Antonia's Line (1995);"Antonia's Line (Original title: Antonia) is a 1995 Dutch film written and directed by Marleen Gorris. The film, described as a ""feminist fairy tale,"" tells the story of the independent Antonia (Willeke van Ammelrooy) who, after returning to the anonymous Dutch village of her birth, establishes and nurtures a close-knit matriarchal community. The film covers a breadth of topics, with themes ranging from death and religion to sex, intimacy, being lesbian, friendship and love.
Antonia's Line was made after challenges in finding locations and funding in the 1980s and 1990s. It enjoyed critical success and several awards, including the Academy Award for Best Foreign Language Film at the 68th Academy Awards."
20;Angels and Insects (1995);Angels & Insects is a 1995 American-British romance drama film directed by Philip Haas. It was written by Philip and Belinda Haas with A. S. Byatt after her novella Morpho Eugenia (included in her book Angels and Insects).
21;Muppet Treasure Island (1996);Muppet Treasure Island is a 1996 American musical adventure comedy film based on Robert Louis Stevenson's Treasure Island. It is the fifth feature film to star The Muppets, and was directed by Brian Henson. Similarly to its predecessor The Muppet Christmas Carol, the key roles were played by live-action actors, with the Muppets in supporting roles. The live-action actors consisted of Tim Curry, Billy Connolly, Jennifer Saunders, and Kevin Bishop in his feature film debut. Kermit the Frog appeared as Captain Abraham Smollett, Fozzie Bear as Squire Trelawney, Sam Eagle as Mr. Samuel Arrow, and Miss Piggy as the castaway Benjamina Gunn. Following their success as the narrators of The Muppet Christmas Carol, The Great Gonzo, and Rizzo the Rat appeared in specially created roles as Jim's best friends. The film was released on February 16, 1996, one month before Muppets Tonight premiered on ABC.
22;Braveheart (1995);"Braveheart is a 1995 American epic war film directed by and starring Mel Gibson. Gibson portrays William Wallace, a 13th-century Scottish warrior who led the Scots in the First War of Scottish Independence against King Edward I of England. The story is inspired by Blind Harry's epic poem The Actes and Deidis of the Illustre and Vallyeant Campioun Schir William Wallace and was adapted for the screen by Randall Wallace.
The film was nominated for ten Academy Awards at the 68th Academy Awards and won five: Best Picture, Best Director, Best Cinematography, Best Makeup, and Best Sound Editing."
23;Taxi Driver (1976);"Taxi Driver is a 1976 American vigilante film with neo-noir and psychological thriller elements, directed by Martin Scorsese and written by Paul Schrader. Set in New York City following the Vietnam War, the film stars Robert De Niro, and features Jodie Foster, Harvey Keitel, Cybill Shepherd, Peter Boyle, and Albert Brooks.
Nominated for four Academy Awards, including Best Picture, Taxi Driver won the Palme d'Or at the 1976 Cannes Film Festival. It is regularly cited by critics, film directors, and audiences alike as one of the greatest films of all time. In 2012, Sight & Sound named it the 31st-best film ever in its decennial critics' poll, ranked with The Godfather Part II, and the fifth-greatest film of all time on its directors' poll. The film was considered ""culturally, historically or aesthetically"" significant by the US Library of Congress and was selected for preservation in the National Film Registry in 1994."
24;Rumble in the Bronx (1995);Rumble in the Bronx is a 1995 Hong Kong martial arts action comedy film starring Jackie Chan and Anita Mui. Released in Hong Kong in 1995, Rumble in the Bronx had a successful theater run, and brought Chan into the American mainstream. The film is set in the Bronx area of New York City but was filmed in and around Vancouver, Canada.
25;Birdcage, The (1996);The Birdcage is a 1996 American comedy film directed by Mike Nichols, written by Elaine May and starring Robin Williams, Gene Hackman, Nathan Lane and Dianne Wiest. Dan Futterman, Calista Flockhart, Hank Azaria, and Christine Baranski appear in supporting roles. It is a remake of the 1978 Franco-Italian film La Cage aux Folles by Édouard Molinaro starring Michel Serrault and Ugo Tognazzi.
26;Brothers McMullen, The (1995);The Brothers McMullen is a 1995 American comedy-drama film written, directed, produced by, and starring Edward Burns. It deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s.
27;Bad Boys (1995);Bad Boys is a 1995 American buddy cop action-comedy film directed by Michael Bay, produced by Don Simpson and Jerry Bruckheimer and starring Martin Lawrence and Will Smith as two narcotic Miami detectives Marcus Burnett and Mike Lowrey. The first in the Bad Boys franchise, the film was followed by a sequel, Bad Boys II (2003).
28;Apollo 13 (1995);"Apollo 13 is a 1995 American docudrama space adventure film directed by Ron Howard. It stars Tom Hanks, Kevin Bacon, Bill Paxton, Gary Sinise, and Ed Harris. The screenplay by William Broyles, Jr., and Al Reinert, that dramatizes the aborted 1970 Apollo 13 lunar mission, is an adaptation of the book Lost Moon: The Perilous Voyage of Apollo 13 by astronaut Jim Lovell and Jeffrey Kluger.
The film depicts astronauts Lovell, Jack Swigert, and Fred Haise aboard Apollo 13 for America's third Moon landing mission. En route, an on-board explosion deprives their spacecraft of most of its oxygen supply and electric power, forcing NASA's flight controllers to abort the Moon landing, and turning the mission into a struggle to get the three men home safely.
Howard went to great lengths to create a technically accurate movie, employing NASA's technical assistance in astronaut and flight controller training for his cast, and obtaining permission to film scenes aboard a reduced gravity aircraft for realistic depiction of the ""weightlessness"" experienced by the astronauts in space.
Released to cinemas in the United States on June 30, 1995, Apollo 13 was nominated for nine Academy Awards, including Best Picture (winning for Best Film Editing and Best Sound). In total, the film grossed over $355 million worldwide during its theatrical releases. The film was very positively received by critics."
29;Batman Forever (1995);"Batman Forever is a 1995 American superhero film directed by Joel Schumacher and produced by Tim Burton, based on the DC Comics character Batman. It is the third installment of the initial Batman film series, with Val Kilmer replacing Michael Keaton as Bruce Wayne / Batman. The film stars Chris O'Donnell, Nicole Kidman, Tommy Lee Jones and Jim Carrey. The plot focuses on Batman trying to stop Two-Face (Jones) and the Riddler (Carrey) in their villainous scheme to extract confidential information from all the minds in Gotham City and use it to learn Batman's identity and bring the city under their control. He gains allegiance from a love interest—psychiatrist Dr. Chase Meridian (Kidman) and a young, orphaned circus acrobat named Dick Grayson (O'Donnell), who becomes his sidekick Robin.
Batman Forever's tone is significantly different from the previous installments, becoming more family-friendly since Warner Bros. believed that the previous Batman film, Batman Returns (1992), failed to outgross its predecessor due to parent complaints about the film's violence and dark overtones. Schumacher eschewed the dark, dystopian atmosphere of Burton's films by drawing inspiration from the Batman comic book of the Dick Sprang era, as well as the 1960s television series. Keaton chose not to reprise the role due to Burton stepping down as director. William Baldwin and Ethan Hawke were initially considered for Keaton's replacement before Kilmer joined the cast.
The film was released on June 16, 1995, receiving mixed reviews, but was a financial success. Batman Forever grossed over $336 million worldwide and became the sixth-highest-grossing film worldwide of 1995."
30;Belle de jour (1967);"Belle de Jour (pronounced: [bɛl də ʒuʁ]) is a 1967 French drama film directed by Luis Buñuel and starring Catherine Deneuve, Jean Sorel, and Michel Piccoli. Based on the 1928 novel Belle de jour by Joseph Kessel, the film is about a young woman who spends her midweek afternoons as a high-class prostitute while her husband is at work.
The title of the film is a pun on the French term, ""belle de nuit"" (""lady of the night"", i.e. a prostitute), but Séverine works during the day under the pseudonym ""Belle de Jour"". Her nickname can also be interpreted as a reference to the French name of the daylily (Hemerocallis), meaning ""beauty of [the] day"", a flower that blooms only during the day.
It was one of Buñuel's most successful and famous films. American director Martin Scorsese promoted a 1995 limited re-release in America and a 2002 release on DVD. In 2006 the Portuguese director Manoel de Oliveira released Belle Toujours, imagining a future encounter between two of the central characters from the original film. In 2010, Belle de Jour was ranked #56 in Empire magazine's list, The 100 Best Films of World Cinema. It won the Golden Lion and the Pasinetti Award for Best Film at the Venice Film Festival in 1967. Many of Deneuve's costumes were designed by Yves St. Laurent."
31;Crimson Tide (1995);"Crimson Tide is a 1995 American submarine film directed by Tony Scott, and produced by Don Simpson and Jerry Bruckheimer. It takes place during a period of political turmoil in the Russian Federation, in which ultranationalists threaten to launch nuclear missiles at the United States and Japan. It focuses on a clash of wills between the new executive officer (Denzel Washington) of a U.S. nuclear missile submarine and its seasoned commanding officer (Gene Hackman), arising from conflicting interpretations of an order to launch their missiles.
The film was scored by Hans Zimmer, who won a Grammy Award for the main theme, which makes heavy use of synthesizers in place of traditional orchestral instruments.
An extended cut, which incorporated seven minutes of deleted scenes, was released on DVD in 2006. When the film was released on Blu-ray two years later, however, the film was restored to the theatrical version."
32;Crumb (1994);"Sophia Violet ""Sophie"" Crumb (born September 27, 1981) is an American-French comics artist. She is the daughter of underground comix artists Robert Crumb and Aline Kominsky-Crumb.
Crumb was born in Woodland, California and lived in the nearby farming town of Winters with her parents until she was nine years old. In 1991, she relocated with her family to Sauve, a village in Southern France. Her parents reported that they wanted to remove her from the political conservatives and Christian fundamentalists of the United States. In a 2010 interview, Sophie told The Philadelphia Inquirer that her mother was afraid Sophie would ""turn into a Valley girl"".
It was after this relocation that Terry Zwigoff released Crumb (1994), a critically acclaimed documentary film about Sophie's father and their family. Zwigoff later commissioned Sophie to prepare some original drawings for inclusion in his 2001 comedy-drama, Ghost World, an adaptation of Daniel Clowes' comics serial of the same name.
After completing her secondary education in France, Crumb studied acrobatics and clowning at a French circus school. While living in Brooklyn in the mid-2000s she sold her comics on the street and apprenticed herself to a tattoo artist. At another stage she earned a living by teaching English as a foreign language.
She lives in Southern France with her husband (a construction worker) and their son, Eli, who was born in 2009."
33;Desperado (1995);Desperado is a 1995 American contemporary Western action film written, produced, and directed by Robert Rodriguez. A sequel to the 1992 film El Mariachi, it is the second installment in Robert Rodriguez's Mexico Trilogy. It stars Antonio Banderas as the mariachi who seeks revenge on the drug lord who killed his lover. The film was screened out of competition at the 1995 Cannes Film Festival. Once Upon a Time in Mexico, the final part of the trilogy, was released in 2003. Desperado grossed $25.4 million in the United States.
34;Doom Generation, The (1995);"The Doom Generation is a 1995 American dark comedy film written and directed by Gregg Araki. It stars James Duval, Rose McGowan, and Johnathon Schaech. The film follows two troubled teenage lovers Amy Blue (McGowan) and Jordan White (Duval) who pick up a young handsome drifter named Xavier Red (Schaech). After he accidentally kills a store's clerk, the trio embarks on a journey full of sex, violence, and people from Amy's past. Billed as ""A Heterosexual Movie by Gregg Araki"", The Doom Generation is the second film in the director's trilogy known as the ""Teenage Apocalypse Trilogy"", the first being Totally Fucked Up (1993) and the last one Nowhere (1997).
The Doom Generation was Araki's major film debut. It was shot mostly at night during January 1994 in Los Angeles on a budget of $800,000. The crew avoided well known landmarks and shot in undeveloped areas of urban sprawl to give the film an apocalyptic feel. The reasonable budget allowed Araki to hire professional crew, making it the first of his films not shot by himself.
The film premiered at the Sundance Film Festival on January 26, 1995, before appearing at various other film festivals. It received mixed reviews from critics. During the press screening, many of the critics walked out. However, at the San Francisco International Film Festival (SFIFF), the film received critical acclaim, most proclaiming it as Araki's breakthrough film. Distributed by Trimark Pictures, it was released in the United States on October 25, 1995. Despite the favorable reviews, the film did not achieve financial success, earning only $284,785 at the box office. McGowan was nominated for the Best Debut Performance at the 11th Independent Spirit Awards.
The characters of Amy Blue and Jordan White are based on the Mark Beyer comic strip ""Amy and Jordan""."
35;Free Willy 2: The Adventure Home (1995);"Free Willy is a series of family films from Warner Bros. The first installment, Free Willy, was released on July 16, 1993, the second, Free Willy 2: The Adventure Home, was released on July 19, 1995, and the third film, Free Willy 3: The Rescue, was released on August 8, 1997; these first three films were produced by Lauren Shuler Donner and distributed by Warner Bros.
The fourth installment, Free Willy: Escape from Pirate's Cove (released March 2010), was directed by Will Geiger and distributed by Warner Premiere. It was a reboot of the original series and is in no way connected to the previous films."
36;Mad Love (1995);Mad Love is a 1995 teen romantic drama film directed by Antonia Bird and starring Drew Barrymore and Chris O'Donnell. The screenplay was written by Paula Milne. The original music score is composed by Andy Roberts.
37;Nadja (1994);Nadja is a 1994 film directed by Michael Almereyda starring Elina Löwensohn as Nadja and Peter Fonda as Van Helsing. As the character's names suggest, Nadja is a vampire film, but treating elements of the genre in an understated arthouse style.
38;Net, The (1995);Net Worth is a 1995 television film that starred Aidan Devine, Al Waxman, R.H. Thomson and Kevin Conway. It was directed by Jerry Ciccoritti from a script written by Don Truckey, Phil Savath, David Cruise and Allison Griffiths. Screenplay by David Cruise.
39;Strange Days (1995);"Strange Days is a 1995 American science fiction thriller film directed by Kathryn Bigelow, written by James Cameron and Jay Cocks, and produced by Cameron and Steven-Charles Jaffe. It stars Ralph Fiennes, Angela Bassett, Juliette Lewis, and Tom Sizemore. Set in the last two days of 1999, the film follows the story of a black marketeer of SQUID discs, recordings that allow a user to experience the recorder's memories and physical sensations, as he attempts to uncover the truth behind the murder of a prostitute.
Blending science fiction with film noir conventions, Strange Days explores themes such as racism, abuse of power, rape, and voyeurism. Although the story was conceived by Cameron around 1986, Bigelow found inspiration after incidents such as the Lorena Bobbitt trial and the 1992 Los Angeles riots that followed the Rodney King verdict. The film was entirely shot in the Greater Los Angeles Area over a period of 77 nights. The film's SQUID scenes, which offer a point-of-view shot (POV), required multi-faceted cameras and considerable technical preparation.
Strange Days was a commercial failure and almost derailed Bigelow's career, making little more than a sixth of its $42 million production cost. Upon release, the film polarized film critics; some reviewers praised its gritty atmosphere and the performances by Fiennes and Bassett, while others criticized it for failing to comment on its violence. Nevertheless, the film's critical standing has improved over the years, with many fans feeling that the film has been overlooked by a casual mass audience and misguided critics. At the 22nd Saturn Awards, Bassett won Best Actress and Bigelow became the first woman to win the Best Director award."
40;To Wong Foo, Thanks for Everything! Julie Newmar (1995);To Wong Foo, Thanks for Everything! Julie Newmar is a 1995 American comedy film starring Wesley Snipes, Patrick Swayze, and John Leguizamo as three New York City drag queens who embark on a road trip. Its title refers to an iconic autographed photo of Julie Newmar that they carry with them on their journey.
41;Billy Madison (1995);Billy Madison is a 1995 American comedy film directed by Tamra Davis. It stars Adam Sandler, Bradley Whitford, Bridgette Wilson, Norm Macdonald, and Darren McGavin. The film was written by Adam Sandler and Tim Herlihy, and produced by Robert Simonds. It made over $26.4 million worldwide and debuted at number one at the box office. The film received negative reviews from critics.
42;Clerks (1994);"Clerks is a 1994 American black comedy film written, directed, and co-produced by Kevin Smith. Starring Brian O'Halloran as Dante Hicks and Jeff Anderson as Randal Graves, it presents a day in the lives of two store clerks and their acquaintances. Shot entirely in black-and-white, Clerks is the first of Smith's View Askewniverse films, and introduces several recurring characters, notably Jay and Silent Bob, the latter played by Smith himself. The structure of the movie contains nine scene breaks, signifying the nine rings of hell as in Dante Alighieri's Divine Comedy, from which the main character, Dante, gets his name.
Clerks was shot for $27,575 in the convenience and video stores where director Kevin Smith worked in real life. Upon its theatrical release, the film grossed over $3 million in theaters, launching Smith's career."
43;Disclosure (1994);Disclosure is a 1994 American erotic thriller film directed by Barry Levinson, starring Michael Douglas and Demi Moore. It is based on Michael Crichton's novel of the same name. The cast also includes Donald Sutherland, Rosemary Forsyth and Dennis Miller. The film is a combination thriller and slight mystery in an office setting within the computer industry in the mid-1990s. The main focus of the story, from which the film and book take their titles, is the issue of sexual harassment and its power structure.
44;Dolores Claiborne (1994);"Dolores Claiborne is a 1992 psychological thriller novel by Stephen King. The novel is narrated by the title character. Atypically for a King novel, it has no chapters, double-spacing between paragraphs, or other section breaks; thus the text is a single continuous narrative which reads like the transcription of a spoken monologue. It was the best-selling novel of 1992 in the United States.
The book is dedicated to King's mother: ""For my mother, Ruth Pillsbury King."""
45;Eat Drink Man Woman (1994);"Eat Drink Man Woman is a 1994 Taiwanese film directed by Ang Lee and starring Sihung Lung, Yu-wen Wang, Chien-lien Wu, and Kuei-mei Yang. The film was released on August 3, 1994, the first of Lee's films to be both a critical and box office success. In 1994, the film received the Asia Pacific Film Festival Award for Best Film, and in 1995 it received an Academy Award Nomination for Best Foreign Language Film.
The title is a quote from the Book of Rites, one of the Confucian classics, referring to the basic human desires and accepting them as natural. The beginning of the quote reads as follows: “The things which men greatly desire are comprehended in meat and drink and sexual pleasure; […]” (Translation by James Legge), Chinese: 「飲食男女，人之大欲存焉」.
Many of the cast members had appeared in Ang Lee's previous films. Sihung Lung and Ah Lei Gua played central elderly figures dealing with the transition from tradition to modernity in The Wedding Banquet, in which Winston Chao also starred. Sihung Lung played an immigrant father in Pushing Hands. These three films show the tensions between the generations of a Confucian family, between East and West, and between tradition and modernity. They form what has been called Lee's ""Father Knows Best"" trilogy."
46;Exotica (1994);"Exotica is a 1994 Canadian drama film set primarily in and around the fictional Exotica strip club in Toronto. It is written and directed by Atom Egoyan and stars Mia Kirshner, Elias Koteas, Sarah Polley, Bruce Greenwood and Don McKellar.
The story concerns a father grieving over the loss of a child and obsessed with a young stripper. It was inspired by Egoyan's curiosity by the role strip clubs play in sex-obsessed societies, and rules at the time forbidding clients from touching dancers. Exotica was filmed in Toronto in 1993.
Marketed as an erotic thriller on its release in Canada and the United States, the film proved to be a major box office success for English Canadian cinema, and received positive reviews. It won numerous awards, including the FIPRESCI Prize at the Cannes Film Festival and eight Genie Awards, including Best Motion Picture."
